Model,FeatureSet,Train_RMSE,Test_RMSE,CV_RMSE,Train_R2,Test_R2,CV_R2
LinearRegression,X1,36942.39911025813,38556.85343804037,38398.66611573777,0.7711913279079198,0.8061841299983374,0.7483980255667907
LinearRegression,X2,37774.63387692239,39358.54324985779,39219.97589917632,0.7607660471147807,0.7980405415744355,0.7380653613413097
XGBRegressor,X1,10385.20254978207,30136.292008141943,31859.4703125,0.9819177389144897,0.8815961480140686,0.8304011344909668
XGBRegressor,X2,12519.543122654277,30209.856934451047,32368.469921875,0.9737215638160706,0.8810173869132996,0.825861644744873
LGBMRegressor,X1,16921.106491771614,32734.40504606538,32288.1981938908,0.9519957370337624,0.8603004298936032,0.8240019452179741
LGBMRegressor,X2,19015.64101462979,31983.03742394402,33210.59311523731,0.9393760501338604,0.8666400026242784,0.8149062759699491
